City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Description
132,Pitimbu,BR,-7.4706,-34.8086,81.19,74,75,10.74,2023-01-02 21:24:14,broken clouds
133,Krasnyy Chikoy,RU,50.3643,108.7512,-21.26,99,51,1.14,2023-01-02 21:24:14,broken clouds
134,Alice Springs,AU,-23.7,133.8833,80.15,83,100,0.0,2023-01-02 21:19:56,overcast clouds
135,Champerico,GT,14.3,-91.9167,91.94,62,11,10.31,2023-01-02 21:24:15,few clouds
136,Calabozo,VE,8.9242,-67.4293,92.8,32,47,3.83,2023-01-02 21:24:15,scattered clouds
137,Ust-Maya,RU,60.4167,134.5333,-48.44,100,78,1.25,2023-01-02 21:24:16,broken clouds
138,Severnoye,RU,56.3491,78.3619,3.58,97,100,8.46,2023-01-02 21:24:16,overcast clouds
139,Souillac,MU,-20.5167,57.5167,75.58,83,40,0.0,2023-01-02 21:24:17,scattered clouds
140,Fortuna,US,40.5982,-124.1573,47.66,89,20,29.93,2023-01-02 21:20:32,few clouds
141,San Patricio,US,28.017,-97.5169,85.17,61,46,20.24,2023-01-02 21:24:18,scattered clouds
142,Atuona,PF,-9.8,-139.0333,78.78,71,31,21.81,2023-01-02 21:24:18,scattered clouds
143,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,18.19,53,75,8.95,2023-01-02 21:24:19,light snow
144,Pacifica,US,37.6138,-122.4869,54.0,73,100,14.97,2023-01-02 21:22:23,overcast clouds
145,Waingapu,ID,-9.6567,120.2641,77.68,77,100,20.74,2023-01-02 21:24:20,overcast clouds
146,Hami,CN,42.8,93.45,18.21,58,27,1.81,2023-01-02 21:24:20,scattered clouds
147,Nouadhibou,MR,20.931,-17.0347,73.38,46,0,18.41,2023-01-02 21:24:20,clear sky
148,Verkhnevilyuysk,RU,63.4453,120.3167,-14.46,93,74,5.68,2023-01-02 21:24:21,broken clouds
149,Saint Anthony,US,45.0205,-93.218,26.29,90,100,5.75,2023-01-02 21:24:21,mist
150,Puerto Ayora,EC,-0.7393,-90.3518,82.36,89,54,3.0,2023-01-02 21:24:22,broken clouds
151,Pithiviers,FR,48.1667,2.25,45.95,90,92,6.49,2023-01-02 21:24:22,overcast clouds
152,Xai-Xai,MZ,-25.0519,33.6442,72.54,90,1,6.58,2023-01-02 21:24:23,clear sky
153,Raga,SS,8.4596,25.678,73.06,32,3,4.7,2023-01-02 21:24:23,clear sky
154,Haines Junction,CA,60.7522,-137.5108,30.15,86,95,3.44,2023-01-02 21:24:24,overcast clouds
155,Sholapur,IN,17.6833,75.9167,71.58,54,0,8.93,2023-01-02 21:20:21,clear sky
156,Dispur,IN,26.1425,91.7889,53.55,73,20,2.24,2023-01-02 21:24:24,few clouds
157,Lewistown,US,40.5992,-77.5714,51.08,100,100,0.0,2023-01-02 21:24:25,fog
158,Beringovskiy,RU,63.05,179.3167,-15.34,91,38,12.37,2023-01-02 21:24:25,scattered clouds
159,Pangnirtung,CA,66.1451,-65.7125,-18.4,76,20,6.91,2023-01-02 21:24:25,few clouds
160,Grindavik,IS,63.8424,-22.4338,36.07,87,75,12.66,2023-01-02 21:24:26,broken clouds
161,Lakhipur,IN,26.0299,90.3041,56.79,71,0,3.78,2023-01-02 21:24:26,clear sky
162,Leningradskiy,RU,69.3833,178.4167,-26.86,98,100,11.01,2023-01-02 21:24:27,overcast clouds
163,Bella Union,UY,-30.2752,-57.6007,92.34,11,0,13.04,2023-01-02 21:24:27,clear sky
164,Hoquiam,US,46.9809,-123.8893,45.93,81,100,3.0,2023-01-02 21:24:28,overcast clouds
165,Muisne,EC,0.6,-80.0333,79.36,70,62,6.53,2023-01-02 21:24:28,broken clouds
166,Kharp,RU,66.8014,65.8081,-5.51,97,100,15.64,2023-01-02 21:24:28,light snow
167,Tucupita,VE,9.0622,-62.051,76.06,90,37,5.3,2023-01-02 21:24:29,scattered clouds
168,Kaitangata,NZ,-46.2817,169.8464,63.95,65,100,1.25,2023-01-02 21:24:29,overcast clouds
169,Yellowknife,CA,62.456,-114.3525,1.92,85,75,19.57,2023-01-02 21:24:30,light snow
170,Merauke,ID,-8.4667,140.3333,79.11,84,99,7.16,2023-01-02 21:24:30,overcast clouds
171,Bougouni,ML,11.417,-7.479,74.77,14,40,5.75,2023-01-02 21:24:31,scattered clouds
172,Comodoro Rivadavia,AR,-45.8667,-67.5,80.46,14,20,23.02,2023-01-02 21:24:31,few clouds
173,Saskylakh,RU,71.9167,114.0833,-9.69,98,100,5.64,2023-01-02 21:24:31,overcast clouds
174,Matara,LK,5.9485,80.5353,71.29,90,14,3.02,2023-01-02 21:24:32,few clouds
175,Cherskiy,RU,68.75,161.3,-49.04,99,74,5.19,2023-01-02 21:24:32,broken clouds
176,Ube,JP,33.9431,131.2511,42.75,64,25,5.61,2023-01-02 21:24:33,scattered clouds
177,Yuksekova,TR,37.5736,44.2872,13.75,79,20,0.0,2023-01-02 21:24:33,mist
178,Svetlogorsk,BY,52.6333,29.7333,46.31,85,100,12.35,2023-01-02 21:24:33,overcast clouds
179,Bindi,SL,9.9167,-11.45,74.95,18,1,4.45,2023-01-02 21:24:34,clear sky
180,Linxia,CN,35.6003,103.2064,21.45,56,0,1.3,2023-01-02 21:24:34,clear sky
181,Belle Fourche,US,44.6714,-103.8522,37.51,74,100,9.84,2023-01-02 21:24:35,overcast clouds
182,Sokolo,ML,14.7328,-6.1219,75.42,14,48,9.93,2023-01-02 21:24:35,scattered clouds
183,Daru,PG,-9.0763,143.2092,78.96,83,100,4.27,2023-01-02 21:24:36,overcast clouds
184,Bengkulu,ID,-3.8004,102.2655,74.32,89,100,4.03,2023-01-02 21:24:36,light rain
185,Faanui,PF,-16.4833,-151.75,80.8,77,72,16.62,2023-01-02 21:24:36,broken clouds
186,Oak Ridge,US,36.0104,-84.2696,64.74,76,100,0.0,2023-01-02 21:19:51,overcast clouds
187,San Jose,US,37.3394,-121.895,54.12,62,100,17.27,2023-01-02 21:20:57,overcast clouds
188,Isla Mujeres,MX,21.2311,-86.731,82.45,76,44,11.41,2023-01-02 21:24:37,light rain
189,Aykhal,RU,66.0,111.5,-10.95,87,100,7.16,2023-01-02 21:24:38,overcast clouds
190,Nampula,MZ,-15.1165,39.2666,71.06,94,100,2.19,2023-01-02 21:24:38,light rain
191,Paita,PE,-5.0892,-81.1144,73.47,70,66,15.14,2023-01-02 21:24:39,broken clouds
